,fips,per_capita_income,poverty_stat,household_income,mortgage_stat,school_enrollment_16-19,own_children_under18,SSI_income,grandparent_care,military_service,education_25,property_value_occupied,retirement_income,rent_over_income,state,county,tract,blockgroup
7680,200599541002050,21588,1021,378,312,121,284,378,593,58,624,312,378,66,20,059,954100,2
7696,290950099002000,30634,824,411,364,11,86,411,605,102,708,364,411,47,29,095,009900,2
7737,290950052001011,13534,531,297,155,0,95,297,309,12,325,155,297,142,29,095,005200,1
7753,170950008001018,12015,705,411,130,92,82,411,488,37,521,130,411,281,17,095,000800,1
7754,290470221003014,40886,1015,729,75,52,63,729,477,186,796,75,729,654,29,047,022100,3
7758,290950139162004,32331,3721,1307,1208,165,1056,1307,1935,187,2202,1208,1307,99,29,095,013916,2
7763,292179504003030,14599,1036,512,250,61,188,512,629,55,733,250,512,262,29,217,950400,3
7764,290950159001038,38634,488,385,224,60,15,385,415,38,527,224,385,161,29,095,015900,1
7784,290370603022014,21568,1480,693,496,99,238,693,987,303,1061,496,693,197,29,037,060302,2
7789,290370611002058,32409,892,344,307,73,134,344,588,100,619,307,344,37,29,037,061100,2
7791,510594604002006,54783,2370,1024,574,102,573,1024,1563,106,1663,574,1024,450,51,059,460400,2
7792,200450010012037,10204,541,241,159,393,80,241,305,20,473,159,241,82,20,045,001001,2
7803,290950085001001,62050,617,287,287,33,146,287,463,62,463,287,287,0,29,095,008500,1
7807,291650302101000,31408,1582,487,411,22,601,487,818,111,854,411,487,76,29,165,030210,1
7809,201030714003040,22598,1437,432,412,104,418,432,783,75,815,412,432,20,20,103,071400,3
7816,290950134072003,45454,1388,699,484,28,162,699,1067,220,1067,484,699,215,29,095,013407,2
7823,200599543002026,27728,1324,649,371,90,267,649,847,108,938,371,649,278,20,059,954300,2
7837,290950133132007,25259,1725,620,546,57,449,620,1080,165,1150,546,620,74,29,095,013313,2
7854,132450105111022,15475,1883,545,377,234,483,545,1473,112,1812,377,545,168,13,245,010511,1
7855,290950141083008,22608,1384,609,458,62,262,609,763,92,905,458,609,151,29,095,014108,3
7870,290970101002004,28857,598,185,109,71,183,185,310,60,320,109,185,76,29,097,010100,2
7871,290470214011026,13336,769,360,258,448,182,360,496,54,566,258,360,102,29,047,021401,1
7875,290370606003059,21115,1245,497,318,130,317,497,873,119,998,318,497,179,29,037,060600,3
7877,290950114061003,19658,1746,551,506,206,381,551,980,109,1027,506,551,45,29,095,011406,1
7880,290470209021015,23470,1434,579,459,23,399,579,823,123,930,459,579,120,29,047,020902,1
7886,290470213031019,26341,1660,526,457,123,490,526,831,101,944,457,526,69,29,047,021303,1
7888,201414741001258,19868,1011,478,374,37,169,478,819,139,857,374,478,104,20,141,474100,1
7889,191530113004057,45868,4048,1465,1312,115,1249,1465,2573,208,2720,1312,1465,153,19,153,011300,4
7894,201770026021056,25856,2306,1114,700,118,311,1114,1700,387,1956,700,1114,414,20,177,002602,1
